show_id,type
80128277,Movie
80098709,Movie
80107372,Movie
80106138,Movie
80109089,Movie
80148275,Movie
80127886,Movie
80173002,Movie
80114460,Movie
80117461,Movie
81227195,Movie
80141787,Movie
80049871,Movie
80103512,Movie
80077402,Movie
80124725,Movie
80108983,Movie
80160987,Movie
80117534,Movie
80115031,Movie
81028556,Movie
80136925,Movie
80117532,Movie
80147403,Movie
80091658,Movie
80134279,Movie
81170694,Movie
80097390,Movie
80155792,Movie
80203778,Movie
80103312,Movie
80202605,Movie
80203791,Movie
80157797,Movie
80179288,Movie
80203780,Movie
80097360,Movie
80006168,Movie
80217133,Movie
80101493,Movie
80063265,Movie
80117765,Movie
80165083,Movie
80121348,Movie
80117082,Movie
80097814,Movie
80108481,Movie
80098287,Movie
80157564,Movie
80178078,Movie
80120740,Movie
80161108,Movie
80150390,Movie
80990829,Movie
80990810,Movie
80245268,Movie
80228322,Movie
80134149,Movie
80115133,Movie
80165849,Movie
80103430,Movie
80103372,Movie
80095094,Movie
80156763,Movie
80156857,Movie
80097361,Movie
80176716,Movie
80132961,Movie
80182105,Movie
80173605,Movie
80101903,Movie
80107737,Movie
80152742,Movie
80152842,Movie
80097423,Movie
80180509,Movie
80145255,Movie
80105067,Movie
80145533,Movie
80170767,Movie
80222896,Movie
80101096,Movie
80126485,Movie
80144454,Movie
80148239,Movie
80162503,Movie
80150350,Movie
80160692,Movie
80157890,Movie
80135149,Movie
80100945,Movie
80207444,Movie
80156212,Movie
80092781,Movie
80132964,Movie
80117824,Movie
80076467,Movie
80049951,Movie
80031800,Movie
80158577,Movie
80100260,Movie
80192244,Movie
80226021,Movie
80147758,Movie
80241537,Movie
80241616,Movie
80239642,Movie
80117240,Movie
80098842,Movie
80145621,Movie
80100268,Movie
80141173,Movie
80134518,Movie
80134398,Movie
80160127,Movie
80156772,Movie
80184973,Movie
80106947,Movie
80082014,Movie
80158247,Movie
80238190,Movie
80238295,Movie
80172471,Movie
80165917,Movie
70155788,Movie
80103424,Movie
80172469,Movie
80097530,Movie
80092404,Movie
80159025,Movie
80079473,Movie
81035843,Movie
80223226,Movie
80144311,Movie
80109145,Movie
80117455,Movie
80132626,Movie
80106124,Movie
80134080,Movie
80108952,Movie
80191356,Movie
80097641,Movie
80097349,Movie
80143794,Movie
80128245,Movie
80166185,Movie
80108430,Movie
80121844,Movie
80164206,Movie
81035841,Movie
80132601,Movie
80114989,Movie
81092766,Movie
80097424,Movie
80998558,Movie
80144804,Movie
80106038,Movie
80107736,Movie
80121843,Movie
80177339,Movie
80097355,Movie
